date,trend_keyword,search_volume,region,category,growth_rate,week_number,year
4/8/2024,berry muffins,73,United States,Seasonal Baking,49,15,2024
4/8/2024,garden herbs bread,54,United States,Artisan Bread,37,15,2024
4/15/2024,mothers day cake,85,United States,Holiday Desserts,71,16,2024
4/15/2024,floral decorating,78,United States,Cake Decorating,63,16,2024
4/15/2024,elegant pastries,67,United States,Special Occasion,52,16,2024
4/15/2024,tea cakes,59,United States,Afternoon Tea,44,16,2024
4/15/2024,petit fours,52,United States,French Pastry,39,16,2024
4/22/2024,graduation cake,74,United States,Celebration Cakes,56,17,2024
4/22/2024,cap cookies,68,United States,Themed Cookies,48,17,2024
4/22/2024,school colors,61,United States,Custom Decorating,43,17,2024
4/22/2024,diploma cake,55,United States,Novelty Cakes,41,17,2024
4/22/2024,party desserts,82,United States,Event Catering,59,17,2024
4/29/2024,cinco de mayo,69,United States,Cultural Baking,51,18,2024
4/29/2024,tres leches cake,76,United States,Latin Desserts,62,18,2024
4/29/2024,churros recipe,83,United States,Mexican Pastry,67,18,2024
4/29/2024,conchas bread,57,United States,Mexican Bread,44,18,2024
4/29/2024,dulce de leche,71,United States,Latin Flavors,55,18,2024
5/6/2024,kentucky derby,64,United States,Event Themed,47,19,2024
5/6/2024,bourbon cake,58,United States,Alcohol Infused,42,19,2024
5/6/2024,mint julep,52,United States,Themed Flavors,38,19,2024
5/6/2024,horse cookies,46,United States,Novelty Cookies,34,19,2024
5/6/2024,southern desserts,73,United States,Regional Baking,56,19,2024
5/13/2024,mothers day brunch,87,United States,Holiday Catering,73,20,2024
5/13/2024,elegant cakes,79,United States,Special Occasion,64,20,2024
5/13/2024,brunch pastries,74,United States,Morning Baking,58,20,2024
5/13/2024,mimosa cake,66,United States,Alcohol Infused,49,20,2024
5/13/2024,rose flavoring,59,United States,Floral Baking,45,20,2024
5/20/2024,memorial day,71,United States,Patriotic Baking,54,21,2024
5/20/2024,flag cake,78,United States,Patriotic Desserts,62,21,2024
5/20/2024,red white blue,85,United States,Themed Decorating,69,21,2024
5/20/2024,berry desserts,82,United States,Seasonal Fruit,65,21,2024
5/20/2024,picnic treats,76,United States,Outdoor Events,58,21,2024
5/27/2024,summer pastries,68,United States,Seasonal Baking,43,22,2024
5/27/2024,light desserts,72,United States,Summer Treats,51,22,2024
5/27/2024,fruit tarts,79,United States,Fresh Fruit,61,22,2024
5/27/2024,no-bake cookies,74,United States,Easy Baking,56,22,2024
5/27/2024,frozen desserts,81,United States,Cold Treats,63,22,2024
